T,P_sat,vol_f,vol_g,h_f,h_g,mu_f,k_f,Pr_f,mu_g
1,657.07846,0.0010001522,192.45488,4176.6227,2502740.5,0.0017311087,0.55888916,13.06063,0.0000092394762
2,705.96886,0.0010001105,179.77575,8391.7321,2504574.7,0.0016736276,0.56139926,12.561239,0.0000092631747
3,758.05427,0.0010000859,168.02743,12603.852,2506408.1,0.0016191347,0.56385734,12.091002,0.0000092871189
4,813.51271,0.0010000778,157.13517,16813.199,2508240.6,0.0015674232,0.56626562,11.647668,0.0000093113037
5,872.53022,0.0010000856,147.03069,21019.976,2510072.3,0.0015183037,0.5686262,11.229202,0.0000093357239
6,935.30117,0.001000109,137.65162,25224.37,2511903.2,0.001471603,0.57094101,10.833758,0.0000093603748
7,1002.0285,0.0010001474,128.94089,29426.555,2513733.2,0.0014271617,0.57321187,10.459657,0.0000093852515
8,1072.9239,0.0010002004,120.84632,33626.692,2515562.4,0.0013848337,0.57544049,10.105373,0.0000094103493
9,1148.2084,0.0010002676,113.32012,37824.931,2517390.6,0.0013444844,0.57762844,9.7695137,0.0000094356637
10,1228.1122,0.0010003485,106.3185,42021.414,2519218,0.0013059897,0.57977723,9.450807,0.0000094611904
11,1312.8753,0.001000443,99.80135,46216.271,2521044.4,0.0012692353,0.58188824,9.1480895,0.0000094869249
12,1402.7478,0.0010005504,93.731856,50409.624,2522870,0.0012341155,0.5839628,8.8602954,0.0000095128632
13,1497.9898,0.0010006707,88.076245,54601.588,2524694.5,0.0012005326,0.58600211,8.5864466,0.0000095390011
14,1598.8723,0.0010008034,82.803503,58792.269,2526518.2,0.0011683961,0.58800734,8.3256445,0.0000095653347
15,1705.677,0.0010009482,77.885135,62981.769,2528340.8,0.0011376221,0.58997956,8.0770619,0.00000959186
16,1818.6968,0.0010011049,73.294945,67170.181,2530162.4,0.0011081328,0.59191979,7.8399369,0.0000096185733
17,1938.236,0.0010012732,69.008838,71357.594,2531983,0.001079856,0.59382898,7.6135662,0.0000096454709
18,2064.6109,0.0010014529,65.004636,75544.091,2533802.6,0.0010527243,0.59570803,7.3973003,0.0000096725491
19,2198.1499,0.0010016437,61.261921,79729.749,2535621.1,0.0010266752,0.59755779,7.1905384,0.0000096998043
20,2339.1937,0.0010018453,57.761877,83914.641,2537438.4,0.0010016504,0.59937904,6.992724,0.0000097272332
21,2488.0959,0.0010020577,54.48716,88098.837,2539254.7,0.00097759556,0.60117253,6.8033413,0.0000097548324
22,2645.2231,0.0010022805,51.421773,92282.402,2541069.8,0.00095445979,0.60293896,6.6219112,0.0000097825986
23,2810.9554,0.0010025135,48.550952,96465.396,2542883.7,0.00093219567,0.604679,6.447989,0.0000098105284
24,2985.6866,0.0010027566,45.861066,100647.88,2544696.5,0.00091075883,0.60639328,6.2811605,0.0000098386188
25,3169.8245,0.0010030097,43.339524,104829.9,2546507.9,0.0008901077,0.60808237,6.1210404,0.0000098668667
26,3363.7915,0.0010032724,40.974685,109011.52,2548318.2,0.00087020334,0.60974685,5.9672693,0.000009895269
