T,P_sat,vol_f,vol_g,h_f,h_g,mu_f,k_f,Pr_f,mu_g
1,657.07846,0.001000152,192.45488,4176.6227,2502740.5,0.001731109,0.55888916,13.06063,9.23948E-06
2,705.96886,0.001000111,179.77575,8391.7321,2504574.7,0.001673628,0.56139926,12.561239,9.26318E-06
3,758.05427,0.001000086,168.02743,12603.852,2506408.1,0.001619135,0.56385734,12.091002,9.28712E-06
4,813.51271,0.001000078,157.13517,16813.199,2508240.6,0.001567423,0.56626562,11.647668,9.3113E-06
5,872.53022,0.001000086,147.03069,21019.976,2510072.3,0.001518304,0.5686262,11.229202,9.33572E-06
6,935.30117,0.001000109,137.65162,25224.37,2511903.2,0.001471603,0.57094101,10.833758,9.36038E-06
7,1002.0285,0.001000147,128.94089,29426.555,2513733.2,0.001427162,0.57321187,10.459657,9.38525E-06
8,1072.9239,0.0010002,120.84632,33626.692,2515562.4,0.001384834,0.57544049,10.105373,9.41035E-06
9,1148.2084,0.001000268,113.32012,37824.931,2517390.6,0.001344484,0.57762844,9.7695137,9.43566E-06
10,1228.1122,0.001000349,106.3185,42021.414,2519218,0.00130599,0.57977723,9.450807,9.46119E-06
11,1312.8753,0.001000443,99.80135,46216.271,2521044.4,0.001269235,0.58188824,9.1480895,9.48693E-06
12,1402.7478,0.00100055,93.731856,50409.624,2522870,0.001234116,0.5839628,8.8602954,9.51286E-06
13,1497.9898,0.001000671,88.076245,54601.588,2524694.5,0.001200533,0.58600211,8.5864466,9.539E-06
14,1598.8723,0.001000803,82.803503,58792.269,2526518.2,0.001168396,0.58800734,8.3256445,9.56534E-06
15,1705.677,0.001000948,77.885135,62981.769,2528340.8,0.001137622,0.58997956,8.0770619,9.59186E-06
16,1818.6968,0.001001105,73.294945,67170.181,2530162.4,0.001108133,0.59191979,7.8399369,9.61857E-06
17,1938.236,0.001001273,69.008838,71357.594,2531983,0.001079856,0.59382898,7.6135662,9.64547E-06
18,2064.6109,0.001001453,65.004636,75544.091,2533802.6,0.001052724,0.59570803,7.3973003,9.67255E-06
19,2198.1499,0.001001644,61.261921,79729.749,2535621.1,0.001026675,0.59755779,7.1905384,9.6998E-06
20,2339.1937,0.001001845,57.761877,83914.641,2537438.4,0.00100165,0.59937904,6.992724,9.72723E-06
21,2488.0959,0.001002058,54.48716,88098.837,2539254.7,0.000977596,0.60117253,6.8033413,9.75483E-06
22,2645.2231,0.001002281,51.421773,92282.402,2541069.8,0.00095446,0.60293896,6.6219112,9.7826E-06
23,2810.9554,0.001002514,48.550952,96465.396,2542883.7,0.000932196,0.604679,6.447989,9.81053E-06
24,2985.6866,0.001002757,45.861066,100647.88,2544696.5,0.000910759,0.60639328,6.2811605,9.83862E-06
25,3169.8245,0.00100301,43.339524,104829.9,2546507.9,0.000890108,0.60808237,6.1210404,9.86687E-06
26,3363.7915,0.001003272,40.974685,109011.52,2548318.2,0.000870203,0.60974685,5.9672693,9.89527E-06
27,3568.0246,0.001003545,38.755786,113192.77,2550127.1,0.000851009,0.61138722,5.8195119,9.92382E-06
28,3782.9761,0.001003826,36.67287,117373.72,2551934.7,0.000832491,0.61300399,5.6774552,9.95253E-06
29,4009.1134,0.001004117,34.716717,121554.39,2553740.9,0.000814617,0.61459763,5.5408065,9.98137E-06
30,4246.9199,0.001004417,32.87879,125734.84,2555545.7,0.000797356,0.61616858,5.4092916,1.00104E-05
31,4496.8952,0.001004727,31.151179,129915.09,2557349.1,0.00078068,0.61771727,5.2826543,1.00395E-05
32,4759.5552,0.001005044,29.526548,134095.2,2559151,0.000764563,0.61924407,5.160654,1.00688E-05
33,5035.4327,0.001005371,27.998096,138275.18,2560951.4,0.000748979,0.62074938,5.043065,1.00982E-05
34,5325.0776,0.001005706,26.55951,142455.08,2562750.3,0.000733903,0.62223355,4.9296757,1.01277E-05
35,5629.0574,0.00100605,25.204931,146634.92,2564547.6,0.000719315,0.62369692,4.8202869,1.01574E-05
36,5947.9574,0.001006402,23.928915,150814.74,2566343.2,0.000705192,0.6251398,4.7147113,1.01872E-05
37,6282.3811,0.001006762,22.726404,154994.56,2568137.2,0.000691514,0.62656251,4.612773,1.02171E-05
38,6632.9506,0.00100713,21.592697,159174.42,2569929.5,0.000678263,0.62796532,4.5143057,1.02471E-05
39,7000.307,0.001007507,20.523419,163354.33,2571720.1,0.00066542,0.62934853,4.4191533,1.02773E-05
40,7385.1105,0.001007891,19.514501,167534.33,2573508.9,0.000652969,0.63071238,4.3271679,1.03076E-05
41,7788.041,0.001008284,18.562154,171714.43,2575295.8,0.000640894,0.63205713,4.2382104,1.03379E-05
42,8209.7984,0.001008684,17.66285,175894.66,2577080.9,0.000629178,0.63338302,4.1521491,1.03685E-05
43,8651.103,0.001009092,16.813301,180075.04,2578864,0.000617809,0.63469026,4.0688597,1.03991E-05
44,9112.6955,0.001009507,16.010441,184255.59,2580645.2,0.000606771,0.63597908,3.9882245,1.04298E-05
45,9595.3378,0.00100993,15.251413,188436.33,2582424.4,0.000596053,0.63724969,3.910132,1.04606E-05
